"Código","Nome da Instituição de Ensino Superior (IES)"
1,"ENCE- Escola Nacional de Ciências Estatísticas"
2,"ENSP- Escola Nacional de Saúde Pública Sérgio Arouca"
3,"ESALQ- Escola Superior de Agricultura Luiz de Queiroz- USP"
4,"UEM- Universidade Estadual de Maringá"
5,"UFAM- Universidade Federal do Amazonas"
6,"UFC- Universidade Federal do Ceará"
7,"UFCG- Universidade Federal de Campina Grande"
8,"UFLA- Universidade Federal de Lavras"
9,"UFMG- Universidade Federal de Minas Gerais"
10,"UFPA- Universidade Federal do Pará"
11,"UFPB- Universidade Federal da Paraíba"
12,"UFPE- Universidade Federal de Pernambuco"
13,"UFRGS- Universidade Federal do Rio Grande do Sul"
14,"UFRJ- Universidade Federal do Rio de Janeiro"
15,"UFRN- Universidade Federal do Rio Grande do Norte"
16,"UFRPE- Universidade Federal Rural de Pernambuco"
17,"UFSCar- Universidade Federal de São Carlos"
18,"UFV- Universidade Federal de Viçosa"
19,"UnB- Universidade de Brasilia"
20,"UNESP- Universidade Estadual Paulista “Júlio de Mesquita Filho”"
21,"UNICAMP- Universidade Estadual de Campinas"
22,"UNIFAL- Universidade Federal de Alfenas"
23,"USP- Universidade de São Paulo"
