"Documento","IES","Código"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
1,2,21
2,2,22
3,2,23
4,2,24
5,2,25
6,2,26
7,2,27
8,2,28
9,2,29
10,2,30
11,2,31
12,2,32
13,2,33
14,2,34
15,2,35
16,2,36
17,2,37
18,2,38
19,2,39
20,2,40
1,3,41
2,3,42
3,3,43
4,3,44
5,3,45
6,3,46
7,3,47
8,3,48
9,3,49
10,3,50
11,3,51
12,3,52
13,3,53
14,3,54
15,3,55
16,3,56
17,3,57
18,3,58
19,3,59
20,3,60
1,4,61
2,4,62
3,4,63
4,4,64
5,4,65
6,4,66
7,4,67
8,4,68
9,4,69
10,4,70
11,4,71
12,4,72
13,4,73
14,4,74
15,4,75
16,4,76
1,5,77
2,5,78
3,5,79
4,5,80
5,5,81
6,5,82
7,5,83
8,5,84
9,5,85
10,5,86
11,5,87
12,5,88
13,5,89
14,5,90
15,5,91
16,5,92
17,5,93
1,6,94
2,6,95
3,6,96
4,6,97
5,6,98
6,6,99
7,6,100
8,6,101
9,6,102
10,6,103
11,6,104
12,6,105
13,6,106
14,6,107
15,6,108
16,6,109
17,6,110
18,6,111
19,6,112
20,6,113
1,7,114
2,7,115
3,7,116
4,7,117
5,7,118
6,7,119
7,7,120
8,7,121
9,7,122
10,7,123
11,7,124
1,8,125
2,8,126
3,8,127
4,8,128
5,8,129
6,8,130
7,8,131
8,8,132
9,8,133
10,8,134
11,8,135
12,8,136
13,8,137
14,8,138
15,8,139
16,8,140
17,8,141
18,8,142
19,8,143
20,8,144
1,9,145
2,9,146
3,9,147
4,9,148
5,9,149
6,9,150
7,9,151
8,9,152
9,9,153
10,9,154
11,9,155
12,9,156
13,9,157
14,9,158
15,9,159
16,9,160
17,9,161
18,9,162
19,9,163
1,10,164
2,10,165
3,10,166
4,10,167
5,10,168
6,10,169
7,10,170
8,10,171
9,10,172
10,10,173
11,10,174
12,10,175
13,10,176
14,10,177
15,10,178
16,10,179
17,10,180
18,10,181
19,10,182
20,10,183
1,11,184
2,11,185
3,11,186
4,11,187
5,11,188
6,11,189
7,11,190
8,11,191
9,11,192
10,11,193
11,11,194
12,11,195
13,11,196
14,11,197
15,11,198
16,11,199
17,11,200
18,11,201
19,11,202
20,11,203
1,12,204
2,12,205
3,12,206
4,12,207
5,12,208
6,12,209
7,12,210
8,12,211
9,12,212
10,12,213
11,12,214
12,12,215
13,12,216
14,12,217
15,12,218
16,12,219
17,12,220
18,12,221
19,12,222
20,12,223
1,13,224
2,13,225
3,13,226
4,13,227
5,13,228
6,13,229
7,13,230
8,13,231
9,13,232
10,13,233
11,13,234
12,13,235
13,13,236
14,13,237
15,13,238
16,13,239
17,13,240
1,14,241
2,14,242
3,14,243
4,14,244
5,14,245
6,14,246
7,14,247
8,14,248
9,14,249
10,14,250
11,14,251
12,14,252
13,14,253
14,14,254
15,14,255
1,15,256
2,15,257
3,15,258
4,15,259
5,15,260
6,15,261
7,15,262
8,15,263
9,15,264
10,15,265
11,15,266
12,15,267
13,15,268
14,15,269
15,15,270
16,15,271
1,16,272
2,16,273
3,16,274
4,16,275
5,16,276
6,16,277
7,16,278
8,16,279
9,16,280
10,16,281
11,16,282
12,16,283
13,16,284
14,16,285
15,16,286
16,16,287
17,16,288
18,16,289
19,16,290
1,17,291
2,17,292
3,17,293
4,17,294
5,17,295
6,17,296
7,17,297
8,17,298
9,17,299
10,17,300
11,17,301
12,17,302
13,17,303
14,17,304
15,17,305
16,17,306
17,17,307
18,17,308
19,17,309
20,17,310
1,18,311
2,18,312
3,18,313
4,18,314
5,18,315
6,18,316
7,18,317
8,18,318
9,18,319
10,18,320
11,18,321
12,18,322
13,18,323
14,18,324
15,18,325
16,18,326
17,18,327
18,18,328
19,18,329
1,19,330
2,19,331
3,19,332
4,19,333
5,19,334
6,19,335
7,19,336
8,19,337
9,19,338
10,19,339
11,19,340
12,19,341
13,19,342
14,19,343
15,19,344
16,19,345
17,19,346
18,19,347
19,19,348
1,20,349
2,20,350
3,20,351
4,20,352
5,20,353
6,20,354
7,20,355
8,20,356
9,20,357
10,20,358
11,20,359
12,20,360
1,21,361
2,21,362
3,21,363
4,21,364
5,21,365
6,21,366
7,21,367
8,21,368
9,21,369
10,21,370
11,21,371
12,21,372
13,21,373
14,21,374
15,21,375
16,21,376
17,21,377
18,21,378
19,21,379
1,22,380
2,22,381
3,22,382
4,22,383
5,22,384
6,22,385
7,22,386
8,22,387
9,22,388
10,22,389
11,22,390
12,22,391
13,22,392
14,22,393
15,22,394
16,22,395
17,22,396
18,22,397
19,22,398
20,22,399
1,23,400
2,23,401
3,23,402
4,23,403
5,23,404
6,23,405
7,23,406
8,23,407
9,23,408
10,23,409
11,23,410
12,23,411
13,23,412
14,23,413
15,23,414
16,23,415
17,23,416
18,23,417
